title,link_mal,release_date,anime_episode,anime_duration,anime_genre,img_link,description,studio,source,show_type
Tousouchuu: Great Mission,https://myanimelist.net/anime/54040/Tousouchuu__Great_Mission,"Apr 2, 2023",? eps,23 min ,"['Sci-Fi', 'Suspense']",,"Due to Earth's increasing climate crisis, humanity has developed futuristic technology to migrate to the Moon. Tomura Sawyer works as a courier in the higher areas, saving money for his little brother, Haru, who suffers from Smoky Moon Disease - a sickness produced by the smoke and polution from the lower areas. The two siblings dream of moving to the higher, cleaner areas to treat this disease.

Tomura takes a gamble to do the impossible: to participate in the TV program ""Run for Money"" and to win against all the other contestants even if he doesn't have the Chrono Bracelet required for it. A producer of said program by the name of Harvest seems to take an interest in Tomura's determination to participate, so she gifts him the Bracelet and allows him to participate. In this glorified game of Tag, Tomura Sawyer must last longer than anyone else without being touched by the enemies in this game — the Hunters.",Toei Animation,Other,TV
Chiikawa,https://myanimelist.net/anime/50250/Chiikawa,"Apr 4, 2022",? eps,1 min ,['Comedy'],,"What's a Chiikawa? No one really knows, but everyone can see they're small, they're cute, and they're always having a fun time! Join them as they explore their surreal world with the sharp humor and clever antics that make the Chiikawa irresistible.

(Source: HIDIVE, edited)",Doga Kobo,Web manga,TV
Bonobono (TV 2016),https://myanimelist.net/anime/32353/Bonobono_TV_2016,"Apr 2, 2016",? eps,5 min ,"['Comedy', 'Slice of Life']",,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)",Eiken,4-koma manga,TV
Ninjala (TV),https://myanimelist.net/anime/50418/Ninjala_TV,"Jan 8, 2022",? eps,23 min ,['Action'],,"The year is 20XX. The ninja, who once forged the history of Japan, were scattered across the country during the Meiji Restoration. As these ninja mingled with the other clans, their bloodline thinned, and they gradually faded from sight. The descendants of these ninja clans, seeking to preserve their heritage, formed the WNA (World Ninja Association) in the hope of carrying on their legacy.

And so it was that the WNA succeeded in developing Ninja-Gum, an art which could summon forth the strength of the Shinobi. And yet creating the most powerful Ninja-Gum requires the strongest of ninja DNA. So it was that the Ninjala Tournament was held, that the mightiest of all ninjas could be found... 

(Source: Official Game website)",OLM,Game,TV
Shikaru Neko,https://myanimelist.net/anime/48442/Shikaru_Neko,"Mar 22, 2021",? eps,0 min ,['Slice of Life'],,(No synopsis yet.),,Manga,TV
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,https://myanimelist.net/anime/30151/Kamiusagi_Rope__Warau_Asa_ni_wa_Fukuraitaru_tte_Maji_ssuka,"Nov 16, 2012",? eps,2 min ,"['Comedy', 'Slice of Life']",,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.",,Original,TV
Shiawase Haitatsu Taneko,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko,"Mar 26, 2011",? eps,0 min ,['Comedy'],,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.)

(Source: ANN)",Kachidoki Studio,Original,TV
Manul no Yuube,https://myanimelist.net/anime/38776/Manul_no_Yuube,"Nov 11, 2018",? eps,1 min ,['Slice of Life'],,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",,Web manga,TV
Saekomdalkom Catch! Tiniping,https://myanimelist.net/anime/56677/Saekomdalkom_Catch_Tiniping,"Sep 27, 2023",26 eps,11 min ,['Fantasy'],,"Puffping stole the Magic Sugar Ball! This has created a strange magical phenomenon where all the Dessert Teeniepings get sucked into a mirror which releases them on Earth for Romi to catch! Along with the Royal Dessert Teeniepings, Jellyping, Shashaping, and Fluffyping, Romi will have to accomplish her mission as fast as possible, otherwise, the Cake Castle will inevitably collapse!

(Source: Catch Teenieping Wiki)",SAMG Entertainment ,Original,TV
Chickip Dancers 3rd Season,https://myanimelist.net/anime/56504/Chickip_Dancers_3rd_Season,"Sep 25, 2023",26 eps,5 min ,['Slice of Life'],,The third season of Chickip Dancers.,Fanworks,Original,TV
Shin Nippon History,https://myanimelist.net/anime/54871/Shin_Nippon_History,"Jan 6, 2020",? eps,23 min ,['Comedy'],,(No synopsis yet.),,Original,TV
Shuwawan!,https://myanimelist.net/anime/57357/Shuwawan,"Mar 22, 2023",? eps,5 min ,['Slice of Life'],,"Shuwawan! chronicles the family life of real-life photographer and essayist Harumichi Saitou. Saitou and his wife are both deaf, his children are both hearing, and the family communicates in sign language. The anime draws on Saitou's own Ikuji Manga Nikki (Child-rearing Manga Diary) work.

(Source: ANN)",KOO-KI,Original,TV
Youkoso Ninchishou Sekai e,https://myanimelist.net/anime/58604/Youkoso_Ninchishou_Sekai_e,"Aug 14, 2022",? eps,5 min ,"['Adventure', 'Slice of Life']",,"Travel through the words of people with dementia by seeing how they experience the everyday and problems they face.

(Source: Official site, translated)",,Original,TV
Monsters: Ippyaku Sanjou Hiryuu Jigoku,https://myanimelist.net/anime/56055/Monsters__Ippyaku_Sanjou_Hiryuu_Jigoku,"Jan 22, 2024",1 ep,25 min ,['Fantasy'],,"A samurai's path leads him to a young waitress whose hometown was destroyed by a dragon. He doesn't want any trouble, but it finds them anyway.

(Source: Netflix)",E&H Production,Manga,ONA
Great Pretender: Razbliuto,https://myanimelist.net/anime/57184/Great_Pretender__Razbliuto,"Feb 23, 2024",4 eps,22 min ,"['Action', 'Adventure', 'Mystery']",,"Presumed dead, master con artist and recovering amnesiac Dorothy is discovered by Shanghai Longu-bang, a mob who wants payback for her conning them. With no memories and nowhere to go, she must rely on a local crime underboss to elude Taipei’s criminal underworld all while tracking down leads to her mysterious past.

(Source: Crunchyroll)",Wit Studio,Original,ONA
Sand Land: The Series,https://myanimelist.net/anime/57160/Sand_Land__The_Series,"Mar 20, 2024",13 eps,24 min ,"['Action', 'Adventure', 'Fantasy']",,"In the far future, war has destroyed the entire Earth, leaving only a barren wasteland where the supply of water is controlled by the greedy king. In search of a long-lost lake, Sheriff Rao asked the king of the demons for help...and got the king's son, Beelzebub, and his assistant, Thief. Together the unlikely trio sets off across the desert, facing dragons, bandits and the deadliest foe of all... the King's army itself! 

(Source: Viz Media)",Anima,Manga,ONA
Sousou no Frieren: ●● no Mahou,https://myanimelist.net/anime/56885/Sousou_no_Frieren__●●_no_Mahou,"Oct 11, 2023",12 eps,1 min ,"['Comedy', 'Fantasy']",,"Frieren loves collecting peculiar spells, and her ever-growing arsenal of magic contains the perfect spells for many occasions. Whether it be by stealthily removing alcohol from Heiter's drinks or by remedying her own sleep issues, Frieren is sure to brighten her companions' days with her magic.

[Written by MAL Rewrite]",TOHO animation STUDIO,Manga,ONA
Aishang Ta de Liyou Extra,https://myanimelist.net/anime/58143/Aishang_Ta_de_Liyou_Extra,"Feb 13, 2024",1 ep,10 min ,['Romance'],,(No synopsis yet.),Red Dog Culture House,Web manga,ONA
Kui Cheng Shoufu Cong Youxi Kaishi,https://myanimelist.net/anime/57663/Kui_Cheng_Shoufu_Cong_Youxi_Kaishi,"Feb 3, 2024",16 eps,19 min ,"['Comedy', 'Fantasy']",,"Pei Qian, an ordinary migrant worker, was accidentally bound to the wealth conversion system, which gave him a good opportunity to spend money in business and start his life over again. However, the system stipulates that you can only earn one yuan if you make a profit of 100 yuan, but all the money you lose can go into your own pocket. In order to lose money, Pei Qian chose the high-risk, money-burning game industry, and deliberately produced ""alternative"" games that went against the rules of the market. However, he unexpectedly became popular time and time again, earning a lot of money, and painfully became Pei Qian is the ""business wizard"" admired by everyone, but only Pei Qian understands that I really just want to lose money...

(Source: Bilibili, Google translated)",Foch Film,Web novel,ONA
Xian Ni,https://myanimelist.net/anime/55809/Xian_Ni,"Sep 25, 2023",76 eps,25 min ,"['Action', 'Adventure', 'Fantasy']",,"Wang Lin is a very smart boy with loving parents. Although he and his parents are shunned by the rest of their relatives, his parents have always held high hopes that he will one day achieve greatness. One day, Wang Lin suddenly gained the chance to walk the path of an immortal but found that he only had mediocre talent at best. Watch Wang Lin as he breaks through his lack of talent and walks the path towards becoming a real immortal!

(Source: Xian Ni Wiki)",BUILD DREAM,Novel,ONA
Yubisaki to Renren Mini Anime,https://myanimelist.net/anime/57782/Yubisaki_to_Renren_Mini_Anime,"Jan 7, 2024",12 eps,1 min ,['Comedy'],,(No synopsis yet.),AQUA ARIS,Manga,ONA
Ojamajo Carnival!!,https://myanimelist.net/anime/58535/Ojamajo_Carnival,"Mar 23, 2024",1 ep,1 min ,[],,Ojamajo Carnival!! commemorates the 25th anniversary of Ojamajo Doremi.,Toei Animation,Original,ONA
Wu Nao Monu 2nd Season,https://myanimelist.net/anime/57575/Wu_Nao_Monu_2nd_Season,"Jan 2, 2024",15 eps,8 min ,"['Drama', 'Fantasy']",,"The suddenly awakening ghost power leads to a conflict between Alois and the five ghosts that have been lingering in Agate's house. It turns out that these ghosts were all Agate's friends before death. The two sides have a negotiation at Agate's family graveyard. Alois wants all ghosts to go to the Hell Valley for reincarnation, but all ghosts want to find out the cause of Agate's suffering. In order not to hurt Agate any more, all ghosts decide to leave. They share their memories with Alois before leaving, hoping that he could find some clues. After seeing the memories of a woman called A Zhu, another child called Lv collapses, and Alois feels very weak and also the urgency.

(Source: Bilibili Youtube)",CUKA,Web manga,ONA
Yi Ren Zhi Xia: Xiu Tie Chong Xian,https://myanimelist.net/anime/58056/Yi_Ren_Zhi_Xia__Xiu_Tie_Chong_Xian,"Feb 15, 2024",1 ep,70 min ,"['Action', 'Supernatural']",,(No synopsis yet.),,Manga,ONA
Bai Yao Pu 4th Season,https://myanimelist.net/anime/57995/Bai_Yao_Pu_4th_Season,"Feb 23, 2024",12 eps,23 min ,"['Adventure', 'Fantasy', 'Mystery', 'Supernatural']",,Fourth season of Bai Yao Pu.,CMC Media,Novel,ONA
Zhu Xian 2nd Season,https://myanimelist.net/anime/58509/Zhu_Xian_2nd_Season,"Mar 30, 2024",26 eps,20 min ,"['Action', 'Adventure', 'Fantasy']",,The second season of Zhu Xian.,Cloud Art,Web novel,ONA
Ensemble Stars!! Tsuioku Selection Checkmate,https://myanimelist.net/anime/56746/Ensemble_Stars_Tsuioku_Selection_Checkmate,"Mar 10, 2024",6 eps,11 min ,[],,"New Ensemble Stars!! web animated series based on the game story ""Checkmate"".",DandeLion Animation Studio,Game,ONA
Hanhua Riji 4th Season,https://myanimelist.net/anime/53449/Hanhua_Riji_4th_Season,"Mar 10, 2024",12 eps,13 min ,"['Comedy', 'Supernatural']",,Fourth season of Hanhua Riji.,L²Studio,Original,ONA
Xian Wu Chuan 2nd Season,https://myanimelist.net/anime/56717/Xian_Wu_Chuan_2nd_Season,"Sep 24, 2023",156 eps,17 min ,"['Action', 'Adventure', 'Fantasy']",,"Ye Chen, the outcast disciple, is banished from the sect and becomes homeless. Through a series of coincidences, he receives a True Flame and once again steps on the path of cultivation. This is a world where demons and deities co-exist and an era where all realms in the world are overrun by chaos. Ye Chen's journey to defying heaven begins, and after going through all kinds of trials and tribulations, he finally reaches the pinnacle of cultivation.

(Source: Youku)",Xiaoming Taiji,Web novel,ONA
Shixiong A Shixiong 2nd Season,https://myanimelist.net/anime/57442/Shixiong_A_Shixiong_2nd_Season,"Dec 14, 2023",78 eps,21 min ,"['Action', 'Adventure', 'Fantasy']",,The second season of Shixiong A Shixiong.,Sparkly Key Animation Studio,Web novel,ONA
Lutu Weiji! Sheng Freya Hao Tebie Shijian,https://myanimelist.net/anime/58079/Lutu_Weiji_Sheng_Freya_Hao_Tebie_Shijian,"Feb 9, 2024",1 ep,36 min ,"['Comedy', 'Mystery', 'Sci-Fi']",,"This is the much-anticipated perfect vacation for everyone.
On the luxurious spaceship, St. Freya, heading towards the moon, we believed we could enjoy this rare and relaxing journey to the fullest — or so we thought.

Mysterious shadows, sudden weightlessness, disappearing items, glaringly faulty alibi...
Is the culprit among us?

(Source: Official Twitter account)",HuaMei Animation,Game,ONA
Uji ni wa Monogatari ga Aru,https://myanimelist.net/anime/58333/Uji_ni_wa_Monogatari_ga_Aru,"Mar 9, 2024",1 ep,6 min ,[],,"The protagonist visits Uji and tours the town, which has been shaped by the accumulation of history and culture from various eras, including the Heian period.

(Source: Official Site)",Kyoto Animation,Original,ONA
Ephemere,https://myanimelist.net/anime/58321/Ephemere,"Mar 22, 2024",1 ep,10 min ,['Sci-Fi'],,"Uta, who works and lives in a hotel on Uranus, has always thought that she is different from other people. Whenever she has free time, she sits in front of her computer making things she likes and enjoys herself alone, or goes to cafes alone. One day, she receives a ""Future Ticket"" - the key to a new life. Despite this, Uta continues to live her life as she always has. However, as the ""Star Festival"", a festival to commemorate the closest point between Uranus and Neptune, approaches, she meets Paula, a popular influencer from Neptune whom she admires. After becoming close to her, Uta makes a major decision about her life.

(Source: Official site, translated)",Noovo,Original,ONA
Wangzhe Rongyao: Rongyao Zhi Zhang,https://myanimelist.net/anime/57699/Wangzhe_Rongyao__Rongyao_Zhi_Zhang,"Jan 13, 2024",4 eps,26 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),Cloud Art,Game,ONA
Wangu Kuang Di,https://myanimelist.net/anime/57613/Wangu_Kuang_Di,"Jan 1, 2024",20 eps,16 min ,"['Action', 'Adventure', 'Fantasy']",,"Chu Kuangsheng, son of Patriarch Chu in the remote Shiyang town in Shenlong Empire, was born weak and unable to train. Due to his cultivation impairment, he is the laughingstock of the entire town. Three years ago, his parents go missing while on official duty. His talented and beautiful sister, Chu Liu'er, is the apparent successor to head the Chu family but she suffers a strange illness. Since then, Chu Kuangsheng's situation gets increasingly difficult. During an ambush, the injured Chu Kuangsheng inherits the ancestral technique of Chu family, rebuilding his damaged meridians. From then on, Chu Kuangsheng's training progresses rapidly. 

Despite appearing weak and incompetent on the surface, he has another identity — the renowned Kuangzun in the martial world. Chu Kuangsheng discovers the collusion of the Chu clan leader with outsiders may be related to his parents' disappearance. He uses his hidden identity of Kuangzun to secretly make connections with heroes, accumulating strength and gathering information. With one face and two identities, he eliminates the corrupt individuals in the Chu clan, He then leaves the small town for Siling Academy to train while he investigates and traces the clues to his parents' disappearance. 

Wielding his sword, cutting off the past and battling against heroes in the vast universe, Chu Kuangsheng's name resonates across myriad domains — he becomes the master.

[Written by AnastasiaWun]",Ruo Hong Culture,Original,ONA
Yishi Zhi Zun,https://myanimelist.net/anime/57512/Yishi_Zhi_Zun,"Feb 18, 2024",16 eps,18 min ,"['Action', 'Adventure', 'Fantasy']",,"Meng Qi, a time-traveler who wants to be a dashing swordsman in white, fails in endless extreme missions in the 'reincarnation space'. The wind suddenly changed and he became the world-famous ""Thunder Sword Mad Monk"". However, all of this turned out to be the treacherous plan of the ancient power. Let’s look at the invincible and funny little monk who is happy in the world and proud of the three worlds.

(Source: bilibili)",,Web novel,ONA
Taigu Xing Shen Jue,https://myanimelist.net/anime/57865/Taigu_Xing_Shen_Jue,"Jan 25, 2024",40 eps,10 min ,"['Action', 'Adventure', 'Fantasy']",,"Chen Xing is the young master of the Chen family in Dongyang City. Both his parents died. He could have succeeded him as the head of the family when he came of age, but was plotted and plotted by the ambitious acting head of the family, Chen Sheng, to occupy the magpie nest. 

Who would have thought that Chen Xing would survive the catastrophe, accidentally obtain the long-lost supreme skill ""The Ancient Star God Art"", and learn some of the moves, come back strong, expose Chen Sheng's ugly face, and imprison him. The matter was put aside for the time being. Chen Xing took precautions and carefully studied the ""Ancient Star God Technique"" to collect the star beasts needed for the technique and grow rapidly. 

During this period, Chen Xing rescued Mu Qinglan, the daughter of the palace lord of Xuanyang Palace, because of a star beast, and on her advice, she went through all kinds of hardships to enter Xuanyang Palace. However, as soon as he started, Chen Xing had constant disputes with Jian Feikong, the son of the deputy sect leader.

(Source: Youku, translated)",Ruo Hong Culture,Web novel,ONA
Da Yuzhou Shidai,https://myanimelist.net/anime/57629/Da_Yuzhou_Shidai,"Jan 22, 2024",12 eps,22 min ,"['Action', 'Sci-Fi']",,(No synopsis yet.),Foch Film,Web novel,ONA
Aru Hi no Gogo,https://myanimelist.net/anime/57889/Aru_Hi_no_Gogo,"Jan 19, 2024",1 ep,1 min ,['Comedy'],,Short animation shown during the 2nd year anniversary stream for NEEDY GIRL OVERDOSE.,Yostar Pictures,Game,ONA
Dubu Wangu 2nd Season,https://myanimelist.net/anime/58057/Dubu_Wangu_2nd_Season,"Feb 9, 2024",156 eps,11 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),Suoyi Technology,Web novel,ONA
Bu Xing Si: Yuan Qi,https://myanimelist.net/anime/55732/Bu_Xing_Si__Yuan_Qi,"Feb 29, 2024",18 eps,20 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Web novel,ONA
Yi Ren Jun Moye,https://myanimelist.net/anime/57656/Yi_Ren_Jun_Moye,"Jan 24, 2024",12 eps,24 min ,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,(No synopsis yet.),DC Impression Vision,Novel,ONA
Pop Pop City,https://myanimelist.net/anime/58318/Pop_Pop_City,"Mar 22, 2024",1 ep,10 min ,"['Drama', 'Sci-Fi']",,"The night of a family birthday party. The mother is tired from work and wants to drink a beer as soon as possible. The father is fidgety and keeps an eye on the clock. A little girl is excited about the sumptuous meal and runs around the house. The intercom rings. There, a ""new family member"" is standing there...

(Source: Official site, translated)",Graphinica,Original,ONA
Sheng Zu,https://myanimelist.net/anime/57877/Sheng_Zu,"Jan 23, 2024",26 eps,14 min ,"['Action', 'Adventure', 'Fantasy']",,"Young Luo Lie was accidentally selected to be summoned to the other world to live in the identity of others. The large and small forces in the other world are divided, and there are hidden killing opportunities everywhere. The homesick Luo Lie relied on his tenacious character and mysterious ability acquired when he wore his soul to overcome many difficulties in the treacherous situation, break through his own limits, and make a name for himself. However, the dangerous predicament, treacherous and cunning tricks are pressing on him step by step, with the help of his childhood sweetheart, Luo Lie, who has no intention of becoming a hero, unexpectedly embarked on a heroic road, what awaits him in front of him is the abyss of no return, or the light that clears the clouds and sees the sun?",Transcendence Picture,Web novel,ONA
Guonian Zhe Lianmeng: Xun Long Ji,https://myanimelist.net/anime/58086/Guonian_Zhe_Lianmeng__Xun_Long_Ji,"Feb 9, 2024",1 ep,4 min ,"['Comedy', 'Fantasy']",,(No synopsis yet.),Sparkly Key Animation Studio,Other,ONA
Lili Kurong,https://myanimelist.net/anime/57996/Lili_Kurong,"Jan 28, 2024",1 ep,1 min ,['Fantasy'],,A short film directed by Yakumo Crack for the Arknights 2024 Spring Festival Gala.,Gear Studio,Game,ONA
Xi Xing Ji: Kuang Wang,https://myanimelist.net/anime/58001/Xi_Xing_Ji__Kuang_Wang,"Feb 28, 2024",9 eps,17 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),BYMENT,Manga,ONA
Yin Shizong Men Zhang Jiao,https://myanimelist.net/anime/58494/Yin_Shizong_Men_Zhang_Jiao,"Mar 23, 2024",52 eps,11 min ,"['Action', 'Adventure', 'Fantasy']",,"Jiang Beichen traveled to a fantasy world and accidentally got the strongest master system, and established the ""Xiandao Sect"". In the early days of the sect, he had to rely on abducting the son of luck to upgrade the sect. Every day, he had to pretend to be a master and bluff a group of talented disciples who admired him. Slowly, Jiang Beichen discovered that his small sect had really become the top hidden sect!

(Source: iQIYI, translated)",,Original,ONA
Shenyi Jiu Xiaojie 2nd Season,https://myanimelist.net/anime/58055/Shenyi_Jiu_Xiaojie_2nd_Season,"Feb 11, 2024",20 eps,10 min ,"['Fantasy', 'Romance']",,(No synopsis yet.),Suoyi Technology,Novel,ONA
Tteotda Keunyeo!! Another Step,https://myanimelist.net/anime/60547/Tteotda_Keunyeo_Another_Step,"Mar 30, 2024",1 ep,12 min ,['Comedy'],,(No synopsis yet.),,Original,ONA
Xiao Lu He Xiao Lan 5th Season,https://myanimelist.net/anime/58325/Xiao_Lu_He_Xiao_Lan_5th_Season,"Mar 13, 2024",12 eps,8 min ,"['Boys Love', 'Comedy', 'Drama', 'Fantasy']",,(No synopsis yet.),,Web manga,ONA
Jian Wang 3: Xia Gan Yi Dan Shen Jianxin 3rd Season Part 2,https://myanimelist.net/anime/53206/Jian_Wang_3__Xia_Gan_Yi_Dan_Shen_Jianxin_3rd_Season_Part_2,"Jan 26, 2024",12 eps,23 min ,"['Action', 'Adventure', 'Comedy']",,(No synopsis yet.),Shengying Animation,Game,ONA
Jian Xian Zai Ci 2nd Season,https://myanimelist.net/anime/57906/Jian_Xian_Zai_Ci_2nd_Season,"Jan 27, 2024",50 eps,11 min ,"['Action', 'Comedy', 'Fantasy']",,(No synopsis yet.),Xing Yi Kai Chen,Web manga,ONA
Holostars★Survival: Oretachi no Kaitaku Seikatsu,https://myanimelist.net/anime/59149/Holostars★Survival__Oretachi_no_Kaitaku_Seikatsu,"Mar 18, 2024",1 ep,2 min ,['Comedy'],,A short following the eccentric and hilarious daily lives of the Holostars VTubers in a survival setting!,Hololive Production,Other,ONA
Shenlong Xing Zhu,https://myanimelist.net/anime/57878/Shenlong_Xing_Zhu,"Jan 20, 2024",48 eps,9 min ,"['Action', 'Fantasy', 'Sci-Fi']",,(No synopsis yet.),Ruo Hong Culture,Web manga,ONA
Xian Yu Ge 2nd Season,https://myanimelist.net/anime/57657/Xian_Yu_Ge_2nd_Season,"Feb 15, 2024",13 eps,23 min ,"['Comedy', 'Fantasy']",,"The carefree Brother Xianyu is still enjoying an ordinary and happy daily life on Yushen Island. The gods from the Nantianmen Group broke the original peace of the island in order to investigate the stolen divine tablets. As unexpected events happened one after another, the mysteries surrounding the ""Fish God"" and ""Seren"" slowly unfolded due to Brother Xianyu's unexpected involvement. Faced with racial differences and worldly prejudices, how will Brother Xianyu use his unique way of doing things to pass this test...

(Source: Bilibili, translated)",717 Animation Studio,Original,ONA
Bai Jia Jue Zhi: Jianghu Gui Shi Lu,https://myanimelist.net/anime/58295/Bai_Jia_Jue_Zhi__Jianghu_Gui_Shi_Lu,"Mar 3, 2024",16 eps,19 min ,"['Action', 'Adventure', 'Sci-Fi']",,"In the future city, science and robots have become necessities in people's lives. The research, development and use of technology maintain a delicate balance between the scientific ethics committee, the technology chaebol, and the third-party security system company Mosh. Wang Xiaoyun, the only son of the Wang Group, was assassinated by an illegal robot while he was out hunting. Everyone in his entourage was spared. The balance of power has been broken, and the undercurrent is surging. 

Bai Wuxie, captain of the 24th Operation Team in charge of public security, found Zhang Bingyi and Shang Weiyang, consultants who are good at mechanical networks, to assist in the investigation. After several on-site investigations, it was discovered that the murderer turned out to be a product of the ""robot oligarchy"" Aibozer Company. 

At the same time, Mosh also encountered a security crisis, and everything seemed to be driven by someone behind the scenes. Zhang Bingyi, Bai Wuxie and Mo Shangshuang from Mosh Company were forced to form a special operations team to find out the truth behind the scenes.

(Source: iQIYI, translated)",,Web novel,ONA
MF Ghost Battle Digest,https://myanimelist.net/anime/59019/MF_Ghost_Battle_Digest,"Mar 19, 2024",1 ep,67 min ,[],,Compilation film re-editing the original MF Ghost into a movie format.,Felix Film,Manga,ONA
Chikomaru Episode 0,https://myanimelist.net/anime/57953/Chikomaru_Episode_0,"Jan 25, 2024",1 ep,1 min ,[],,(No synopsis yet.),Pie in the sky,Web manga,ONA
Wo Kao Chongzhi Dang Wudi 2nd Season,https://myanimelist.net/anime/58068/Wo_Kao_Chongzhi_Dang_Wudi_2nd_Season,"Feb 24, 2024",30 eps,8 min ,"['Action', 'Fantasy']",,Second season of Wo Kao Chongzhi Dang Wudi.,Suoyi Technology,,ONA
Kicks And Punk,https://myanimelist.net/anime/58320/Kicks_And_Punk,"Mar 22, 2024",1 ep,10 min ,['Sci-Fi'],,"""Let's go. In search of treasure""
Nike, a punky outsider girl, runs through the city of the future! In a city where the transportation infrastructure has developed dramatically and walking is no longer necessary, Nike runs alone in her favorite sneakers. Her goal is to get sneakers from the legendary manufacturer ""Dynameros"", which can only be obtained on the black market. As Nike runs despite being chased by a horde of cyber police, a woman appears in front of her. That woman is none other than Sherry, the daughter of the president of ""Fractal Walter"", a major company that created the era. What kind of story will the encounter between these two opposing people produce?

(Source: Official site, translated)",Nippon Animation,Original,ONA
Fei Ren Zai Spring Festival Special,https://myanimelist.net/anime/58048/Fei_Ren_Zai_Spring_Festival_Special,"Feb 2, 2024",1 ep,11 min ,"['Comedy', 'Supernatural']",,(No synopsis yet.),,Manga,ONA
Yun Zhongju San Zi,https://myanimelist.net/anime/57836/Yun_Zhongju_San_Zi,"Jan 17, 2024",26 eps,14 min ,"['Action', 'Fantasy']",,(No synopsis yet.),Escape Velocity Animation,Other,ONA
Bridge: My Little Friends,https://myanimelist.net/anime/58319/Bridge__My_Little_Friends,"Mar 22, 2024",1 ep,9 min ,['Fantasy'],,"""I'll let you meet Shiro. I promise!"" Jin the cat promised Mugi, who was grieving over the loss of his beloved dog Shiro. Jin loves Mugi very much, and after hearing the story of the Rainbow Bridge from his owner Kageyama, he decided to let Mugi meet Shiro at the end of the rainbow! Will Jin be able to save Mugi from her sadness? He invites the pigeons and squirrels from the neighborhood, and now Jin's big plan begins!

(Source: Official site, translated)",Studio GOONEYS,Original,ONA
Dixia Cheng Yu Yongshi: Po Jie Shaonu,https://myanimelist.net/anime/58655/Dixia_Cheng_Yu_Yongshi__Po_Jie_Shaonu,"Jan 18, 2024",12 eps,24 min ,['Fantasy'],,(No synopsis yet.),,,ONA
Huo Shen: Tianqi Zhizi,https://myanimelist.net/anime/57929/Huo_Shen__Tianqi_Zhizi,"Jan 28, 2024",1 ep,67 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Original,ONA
Rebirth ChocoReba,https://myanimelist.net/anime/58607/Rebirth_ChocoReba,"Mar 20, 2024",24 eps,0 min ,['Comedy'],,Mini anime released on the official Rebirth YouTube channel.,,Card game,ONA
Dokonjo Gaeru Yanen,https://myanimelist.net/anime/58499/Dokonjo_Gaeru_Yanen,"Feb 22, 2024",25 eps,1 min ,['Comedy'],,(No synopsis yet.),DLE,Other,ONA
Amebas!,https://myanimelist.net/anime/58800/Amebas,"Mar 29, 2024",18 eps,1 min ,"['Comedy', 'Gourmet']",,"Terry and Small are two amoebas who live inside the stomach of Nakamoto, a gluttonous boy. However, Nakamoto is unaware of the existence of microorganisms. Are they good? Bad? Neutral? What he does know is that he loves eating and playing.

(Source: Official site, translated)",Studio Crocodile,Original,ONA
Xuan Di Chuanshuo,https://myanimelist.net/anime/58924/Xuan_Di_Chuanshuo,"Mar 28, 2024",200 eps,7 min ,"['Action', 'Adventure', 'Fantasy']",,(No synopsis yet.),,Novel,ONA
Yuanqi Qi Shi 2,https://myanimelist.net/anime/58559/Yuanqi_Qi_Shi_2,"Jan 18, 2024",12 eps,7 min ,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,(No synopsis yet.),,Game,ONA
Say You to Yoasobi Animation: Ikuda Momo! Sobi-,https://myanimelist.net/anime/58546/Say_You_to_Yoasobi_Animation__Ikuda_Momo_Sobi-,"Mar 11, 2024",8 eps,5 min ,['Comedy'],,"Short animation featuring Say You to Yoasobi Abema show mascot character, and the hosts voicing other characters.",,Other,ONA
Ikkyuumono-san,https://myanimelist.net/anime/58649/Ikkyuumono-san,"Jan 9, 2024",1 ep,1 min ,"['Avant Garde', 'Comedy']",,A collaboration between Ikimono-san and Ikkyuu-san.,Toei Animation,Other,ONA
